symbol,ts,title,p_pos,p_neg,p_neu,sent_signed,lab,lex,human_label
CCRN,2022-05-02 00:00:00 UTC,Blucora (BCOR) to Report Q1 Earnings: What's in the Cards?,0.8603709,0.098434836,0.041194346,0.76193607,pos,0,
HOLX,2023-02-16 00:00:00 UTC,"West Pharmaceutical (WST) Q4 Earnings Beat, Order Book Strong",0.9506359,0.025934359,0.02342974,0.9247016,pos,1,
CBRL,2022-09-14 00:00:00 UTC,Williams-Sonoma's (WSM) West Elm Brand Partners With Branch,0.9456238,0.025596865,0.028779326,0.92002696,pos,0,
INDB,2023-07-20 00:00:00 UTC,Independent Bank Corp. (INDB) Q2 Earnings Surpass Estimates,0.7833788,0.18246987,0.03415141,0.6009089,pos,0,
FOLD,2019-06-04 00:00:00 UTC,Amicus Therapeutics Option Alert: Jun 21 $12 Calls Sweep (26) near the Ask: 578 @ $0.45 vs 2228 OI; Ref=$11.7975,0.9514013,0.022027925,0.02657075,0.9293734,pos,0,
DPZ,2019-10-09 00:00:00 UTC,"Despite Lackluster Quarter, Sell-Side Says Domino's Will Eventually Beat Back New Third-Party Delivery Competition",0.8854548,0.040139116,0.07440617,0.84531564,pos,1,
FAST,2019-10-11 00:00:00 UTC,28 Stocks Moving in Friday's Pre-Market Session,0.93328404,0.032185696,0.03453021,0.9010984,pos,0,
TOL,2019-05-22 00:00:00 UTC,"5 Top Stock Trades for Thursday: TGT, URBN, CGC",0.7599669,0.093281195,0.14675193,0.6666857,pos,0,
KEY,2015-04-16 00:00:00 UTC,"KeyCorp (KEY) Reports in Line Q1 Earnings, Revenue Up Y/Y - Tale of the Tape",0.95184803,0.02679172,0.021360222,0.92505634,pos,0,
SPWR,2016-08-10 00:00:00 UTC,"SunPower (SPWR) Q2 Loss Wider than Expected, Offers View",0.9344377,0.017936181,0.04762617,0.9165015,pos,-1,
OLED,2014-09-05 00:00:00 UTC,Universal Display (OLED) Jumps: Stock Rises 6.6% - Tale of the Tape,0.9194454,0.04200687,0.038547672,0.87743855,pos,0,
DLTR,2022-03-01 00:00:00 UTC,Why Kimco Realty Turned Out to Be Pandemic Proof,0.949767,0.024724117,0.025508946,0.92504287,pos,0,
CVE,2015-06-18 00:00:00 UTC,"Cenovus Energy In Exclusive Talks With Ontario Teachers' Pension Plan On The Sale Of Its Royalty Lands, According to Sources -Reuters",0.52250123,0.009131704,0.46836704,0.5133695,pos,0,
AA,2015-09-28 00:00:00 UTC,Benzinga's Top #PreMarket Gainers,0.8478484,0.013811677,0.13833988,0.83403677,pos,0,
