ticker,n_rows,first_date,last_date,n_years,med_dollar_vol_recent252,med_dollar_vol_full,max_gap_days,error
A,6066,1999-11-18,2023-12-28,24.11,209054400.27618408,105854141.9506073,7,
AA,15605,1962-01-02,2023-12-28,61.98,169288538.11979294,28404470.21484375,7,
AAAU,1352,2018-08-15,2023-12-28,5.37,23794665.935993195,6556477.561191312,4,
AACG,4008,2008-01-29,2023-12-28,15.91,10266.500133275986,36413.99917602539,5,
AADR,3384,2010-07-21,2023-12-28,13.44,50743.00003051758,102046.99916839601,5,
AAL,4595,2005-09-27,2023-12-28,18.25,364318738.8650894,197938057.86895752,5,
AAMC,2344,2012-12-13,2023-12-28,11.04,465117.99224853516,301637.48919487,627,
AAME,11040,1980-03-17,2023-12-28,43.78,6477.499955892563,10200.000286102295,7,
AAN,10272,1982-11-04,2023-12-28,41.15,3312443.0134773254,46255.184653401375,146,
AAOI,2582,2013-09-26,2023-12-28,10.25,8517287.752628326,5317826.531982422,4,
AAON,7815,1992-12-16,2023-12-28,31.03,23348765.768051147,1091443.985939026,7,
AAP,5558,2001-11-29,2023-12-28,22.08,127813480.79910278,78698652.40421295,5,
AAPL,10852,1980-12-12,2023-12-28,43.04,9531593410.772703,197630213.4402752,7,
AAT,3261,2011-01-13,2023-12-28,12.96,7053230.883026123,6916559.852600098,5,
AAU,4536,2005-12-20,2023-12-28,18.02,30687.499660998576,155390.00081717968,5,
AAWW,3686,2005-11-09,2020-07-02,14.64,12752931.184577942,10068248.979187012,5,
AAXJ,3869,2008-08-15,2023-12-28,15.37,36021115.50064087,41627560.71853638,5,
AAXN,4729,2001-06-08,2020-04-01,18.81,43745685.38360596,12080120.40901184,7,
AB,8998,1988-04-14,2023-12-28,35.7,9711454.947662354,5952464.930820465,7,
ABB,4840,2001-04-06,2020-07-02,19.24,39528681.8031311,35351794.03038025,7,
ABBV,2767,2013-01-02,2023-12-28,10.98,710980762.1826172,564162415.8508301,4,
ABC,6357,1995-04-04,2020-07-02,25.25,109671688.32359314,71933881.36520386,7,
ABCB,7456,1994-05-19,2023-12-28,29.61,14754748.830604553,460066.96796417236,7,
ABEO,10910,1980-09-19,2023-12-28,43.27,403241.5061235428,0.0,7,
ABEQ,992,2020-01-22,2023-12-28,3.93,222107.0481300354,168691.99857711792,4,
ABEV,6750,1997-03-05,2023-12-28,26.81,37926759.87637043,702002.5122761726,7,
ABG,5482,2002-03-21,2023-12-28,21.77,36289480.60913086,9354652.52981186,5,
ABIO,6641,1997-08-08,2023-12-28,26.39,41127.50061750412,269256.95068359375,7,
ABM,11040,1980-03-17,2023-12-28,43.78,15449439.907455444,1542723.7166404724,7,
ABMD,8237,1987-07-29,2020-07-02,32.93,124285976.10168457,1171500.0,92,
ABR,4966,2004-04-07,2023-12-28,19.72,44326120.25947571,1964829.0670394897,5,
ABT,11040,1980-03-17,2023-12-28,43.78,504406485.8192444,143068323.80895615,7,
ABTX,1192,2015-10-08,2020-07-02,4.73,2836240.9885406494,1378943.0128097534,4,
ABUS,4136,2007-07-26,2023-12-28,16.42,1439049.0058898926,628494.0140366554,5,
AC,4017,2007-12-27,2023-12-28,16.0,225802.49252319336,810000.0,9,
ACA,1295,2018-11-05,2023-12-28,5.14,13324232.637023926,11559240.296936035,4,
ACAD,4931,2004-05-27,2023-12-28,19.59,29372593.533420563,20488176.384735107,5,
ACAM,194,2019-05-09,2020-07-02,1.15,115082.49950408936,115082.49950408936,29,
ACB,5997,2000-01-03,2023-12-28,23.98,3033457.9487353563,12000.000476837156,8,
ACBI,1166,2015-11-02,2020-06-19,4.63,1320942.992591858,1201837.4564170837,4,
ACC,3990,2004-08-16,2020-06-19,15.84,34031214.33677673,21751646.173286438,5,
ACCO,4623,2005-08-17,2023-12-28,18.36,2723101.546025276,4294841.175746918,5,
ACEL,1597,2017-08-24,2023-12-28,6.34,2222671.980857849,1892891.0432815552,4,
ACER,5332,2002-09-17,2023-11-20,21.17,151449.20119810104,83574.0650498271,5,
ACES,1384,2018-06-29,2023-12-28,5.5,2413242.054748535,2371060.962486267,4,
ACGL,7122,1995-09-14,2023-12-28,28.29,129310759.77859497,19802976.280403137,7,
ACGLO,1600,2017-08-21,2023-12-28,6.35,397920.9921836853,515822.0099449158,4,
ACGLP,950,2016-09-23,2020-07-02,3.77,1087855.9851646423,1180137.013244629,4,
ACH,4672,2001-12-11,2020-07-02,18.56,291336.9938850403,1890655.039548874,5,
ACHC,7508,1994-03-04,2023-12-28,29.82,35187140.576934814,128248.00071716309,7,
ACHV,7102,1995-10-12,2023-12-28,28.21,322774.99854564667,119875.99955797195,7,
ACI,1556,2015-01-05,2023-12-28,8.98,57952191.66307449,42005185.75592041,46,
ACIA,1033,2016-05-13,2020-06-19,4.1,30845527.626800537,30968096.97418213,4,
ACIU,1828,2016-09-23,2023-12-28,7.26,160107.00298547745,583472.4891662598,4,
ACIW,7262,1995-02-24,2023-12-28,28.84,13917461.923027039,7914355.982494354,7,
ACLS,5905,2000-07-11,2023-12-28,23.46,74160569.84100342,4695888.066101074,7,
ACM,4189,2007-05-10,2023-12-28,16.64,59852940.298461914,29277471.587371826,5,
ACMR,1548,2017-11-02,2023-12-28,6.15,9186557.147407532,8951247.754144669,4,
ACN,5647,2001-07-19,2023-12-28,22.44,602666765.7653809,195331245.83129883,7,
ACNB,7488,1994-04-04,2023-12-28,29.73,345842.49420166016,33602.72092819214,7,
ACOR,4501,2006-02-10,2023-12-28,17.88,91775.9979248047,9104500.0,5,
ACP,3252,2011-01-27,2023-12-28,12.92,1706253.9969444275,968793.6605739594,5,
ACRE,2937,2012-04-27,2023-12-28,11.67,5754565.837049484,2291169.903278351,5,
ACRS,2072,2015-10-06,2023-12-28,8.23,5262307.614612579,3868173.546266556,4,
ACRX,3241,2011-02-11,2023-12-28,12.88,123126.49824023247,1093059.9663734436,5,
ACSG,269,2018-12-06,2020-07-02,1.57,7793.999862670898,7769.999885559084,39,
ACSI,1797,2016-11-07,2023-12-28,7.14,4646.549987792969,25475.99945068359,4,
ACST,2993,2012-02-07,2023-12-28,11.89,33325.5,82000.0,5,
ACT,1217,2017-12-13,2023-12-28,6.04,4460686.988258362,429598.0012893677,441,
ACTG,5295,2002-12-16,2023-12-28,21.03,780441.9970154762,1485675.0,5,
ACTT,249,2019-05-14,2020-07-02,1.14,327563.9888763428,327563.9888763428,14,
ACTTU,249,2019-04-26,2020-06-24,1.16,10130.000114440918,10130.000114440918,24,
ACU,11040,1980-03-17,2023-12-28,43.78,176248.00367355347,19977.499771118164,7,
ACV,2167,2015-05-21,2023-12-28,8.61,654986.9809150696,866650.9969711303,4,
ACWF,1067,2015-05-04,2020-06-19,5.13,257815.49911499023,163074.60536956784,17,
ACWI,3967,2008-03-28,2023-12-28,15.75,289985992.42248535,84455943.77746582,5,
ACWV,3067,2011-10-20,2023-12-28,12.19,15479061.394119265,11836000.0,5,
ACWX,3965,2008-04-01,2023-12-28,15.74,66885748.22483063,21483125.352859497,5,
ACY,5651,1998-01-20,2020-07-02,22.45,30265.00039100647,17775.0,7,
ADAP,2178,2015-05-06,2023-12-28,8.65,477269.5061266422,1472285.5392456055,4,
ADBE,9420,1986-08-13,2023-12-28,37.37,1239755277.871704,137671574.62711334,7,
ADC,7479,1994-04-15,2023-12-28,29.7,46622938.49372864,1024163.990020752,7,
ADCT,911,2020-05-18,2023-12-28,3.61,724104.5023798943,2560864.0289306645,4,
ADI,11040,1980-03-17,2023-12-28,43.78,576084966.7434694,77974563.96636963,7,
ADIL,1365,2018-07-27,2023-12-28,5.42,52389.00067806244,170814.00332450867,4,
ADM,11040,1980-03-17,2023-12-28,43.78,209673334.48562622,28462041.539645195,7,
ADMA,2567,2013-10-17,2023-12-28,10.2,6568841.853404045,1129680.04488945,4,
ADME,1900,2016-06-13,2023-12-28,7.54,661262.8198623657,446078.9594335556,4,
ADMP,6266,1995-08-14,2020-07-02,24.88,550152.0032852888,71293.75,7,
ADMS,1569,2014-04-10,2020-07-02,6.23,1604866.5033340454,2563600.0,4,
ADNT,1812,2016-10-17,2023-12-28,7.2,28558155.35697937,34192352.03399658,4,
ADP,11041,1980-03-17,2023-12-28,43.78,357879671.723938,,5,
ADPT,1135,2019-06-27,2023-12-28,4.5,6727635.127544403,16538984.733581543,4,
ADRE,1384,2015-01-02,2020-07-02,5.5,201320.0002670288,236368.00537109375,5,
ADRO,1315,2015-04-15,2020-07-02,5.22,988897.0258593559,3205116.032409668,4,
ADS,4792,2001-06-15,2020-07-02,19.05,86479747.18112946,70798973.33564758,7,
ADSK,9703,1985-06-28,2023-12-28,38.5,259217148.0583191,58696270.93811035,7,
ADSW,941,2016-10-06,2020-07-02,3.74,32413640.350723267,10603644.23904419,4,
ADT,1496,2018-01-19,2023-12-28,5.94,15422142.896223068,16180988.151073456,4,
ADTN,7399,1994-08-10,2023-12-28,29.38,7050064.549684525,11053705.812454224,7,
ADTX,881,2020-06-30,2023-12-28,3.49,117513.99916172029,511100.0,4,
ADUS,3566,2009-10-28,2023-12-28,14.17,7961157.936859131,2234506.0349464417,5,
ADVM,2370,2014-07-31,2023-12-28,9.41,241426.99739933014,2354962.499022484,4,
ADX,11040,1980-03-17,2023-12-28,43.78,2512377.9315948486,863440.0074005127,7,
ADXN,979,2020-01-29,2023-12-28,3.91,46866.99901342392,26425.700149536133,12,
ADXS,4536,2005-07-28,2023-12-28,18.42,7807.004902034998,112500.0,150,
AE,12329,1975-02-07,2023-12-28,48.89,280431.0018539429,42525.0,7,
AEB,3676,2005-11-23,2020-07-02,14.61,410259.99279022217,434976.00860595703,5,
AEE,6540,1998-01-02,2023-12-28,25.98,115785189.3409729,50384967.95158386,7,
AEF,8631,1989-09-26,2023-12-28,34.25,226851.99828147888,381509.9953651428,7,
AEFC,1052,2019-10-24,2023-12-28,4.18,828043.9782142639,1261067.965602875,4,
AEG,9703,1985-06-28,2023-12-28,38.5,6617681.909894943,4698120.131778717,7,
AEGN,9719,1981-12-03,2020-06-19,38.54,1932559.9475860596,1841923.9616394043,7,
AEHR,6636,1997-08-15,2023-12-28,26.37,32651400.841903687,45918.75,7,
AEIS,7076,1995-11-17,2023-12-28,28.11,18274358.24584961,7787892.054748535,7,
