ticker,first_date,last_date,n_rows,max_gap_days,med_dollar_vol_recent252,total,allext_count,nasdaq_count,news_window,exclusion_reason
A,1999-11-18,2023-12-28,6066,7,209054400.27618408,5117.0,2369.0,2748.0,3879,PASS
KTOS,1999-11-05,2023-12-28,6075,7,10444023.515081406,2685.0,1087.0,1598.0,2661,PASS
BGS,2007-05-23,2023-12-28,4180,5,11608974.993610382,937.0,0.0,937.0,937,PASS
TRV,1975-11-17,2023-12-28,12133,7,214507202.6977539,8249.0,2859.0,5390.0,7956,PASS
RRC,1980-06-19,2023-12-28,10974,7,91045733.7571144,6476.0,2482.0,3994.0,6293,PASS
RS,1994-09-16,2023-12-28,7373,7,78674454.00772095,2861.0,0.0,2861.0,2861,PASS
RSG,1998-07-01,2023-12-28,6416,7,158975274.65057373,3133.0,1047.0,2086.0,3027,PASS
TRP,1982-09-20,2023-12-28,10406,7,76597901.67350769,5946.0,2305.0,3641.0,5901,PASS
TROX,2010-12-01,2023-12-28,3291,5,14354216.854476929,1538.0,605.0,933.0,1538,PASS
TROW,1986-04-02,2023-12-28,9513,7,143733548.71559143,5244.0,2016.0,3228.0,5057,PASS
TRNO,2010-02-10,2023-12-28,3495,5,28802025.802612305,2032.0,724.0,1308.0,2003,PASS
ENR,2000-03-27,2023-12-28,5978,7,16431368.104934692,2504.0,938.0,1566.0,2396,PASS
ENS,2004-08-02,2023-12-28,4887,5,20217969.0410614,2165.0,696.0,1469.0,2136,PASS
TRN,1973-05-03,2023-12-28,12776,7,8492947.342681885,3009.0,1188.0,1821.0,2972,PASS
BHP,1980-03-17,2023-12-28,11040,7,158051584.27829742,8738.0,2055.0,6683.0,7882,PASS
FSM,2007-01-08,2023-12-28,4274,5,10409479.216253756,1114.0,452.0,662.0,1114,PASS
TRMK,1980-03-17,2023-12-28,11040,7,6264564.086723328,802.0,274.0,528.0,770,PASS
CRS,1973-02-21,2023-12-28,12826,7,19866839.588356014,1574.0,434.0,1140.0,1551,PASS
TRMB,1990-07-20,2023-12-28,8425,7,56807916.6639328,2188.0,838.0,1350.0,2136,PASS
FSLR,2006-11-17,2023-12-28,4306,5,341654402.1682739,7657.0,2231.0,5426.0,7631,PASS
ENSG,2007-11-09,2023-12-28,4061,5,23160164.877319336,1572.0,574.0,998.0,1553,PASS
TRI,2002-06-12,2023-12-28,5425,5,43753905.98373413,2761.0,999.0,1762.0,2674,PASS
BIDU,2005-08-05,2023-12-28,4631,5,306995863.79241943,8890.0,2268.0,6622.0,8850,PASS
NYMT,2004-07-26,2023-12-28,4892,5,5328005.869913101,2024.0,915.0,1109.0,2008,PASS
BIG,1985-06-20,2023-12-28,9709,7,12759441.238355637,5514.0,2137.0,3377.0,5285,PASS
BIIB,1991-09-17,2023-12-28,8132,7,244688205.015564,8369.0,1916.0,6453.0,8364,PASS
TRGP,2010-12-07,2023-12-28,3287,5,113670939.78652954,2614.0,977.0,1637.0,2614,PASS
TREX,1999-04-08,2023-12-28,6223,7,53045970.41091919,2218.0,767.0,1451.0,2218,PASS
KSS,1992-05-19,2023-12-28,7962,7,97108216.98474884,10619.0,3801.0,6818.0,10236,PASS
NZF,2001-10-03,2023-12-28,5598,5,5579040.46421051,740.0,323.0,417.0,738,PASS
ENLC,2004-01-13,2023-12-28,5025,5,22663564.34211731,1680.0,611.0,1069.0,1680,PASS
TS,2002-12-16,2023-12-28,5295,5,61415164.60790634,1921.0,657.0,1264.0,1861,PASS
TX,2006-02-01,2023-12-28,4508,5,7281013.691711425,1932.0,677.0,1255.0,1795,PASS
ROP,1992-02-13,2023-12-28,8028,7,201298899.647522,3462.0,1269.0,2193.0,3429,PASS
TWO,2009-10-30,2023-12-28,3564,5,13065410.199022291,2453.0,1033.0,1420.0,2431,PASS
FTNT,2009-11-18,2023-12-28,3551,5,299655147.7695465,4762.0,1534.0,3228.0,4714,PASS
ENB,1984-03-15,2023-12-28,10029,7,140119561.2646103,7190.0,2353.0,4837.0,7146,PASS
CSL,1973-02-21,2023-12-28,12826,7,82267607.71331787,2925.0,936.0,1989.0,2904,PASS
TV,1993-12-14,2023-12-28,7564,7,8464405.917596817,1735.0,656.0,1079.0,1578,PASS
FTI,2001-06-15,2023-12-28,5670,7,83488963.1855011,3962.0,1504.0,2458.0,3830,PASS
BECN,2004-09-23,2023-12-28,4850,5,28820147.840881348,2413.0,909.0,1504.0,2353,PASS
CSIQ,2006-11-09,2023-12-28,4312,5,32286796.483039856,6734.0,2572.0,4162.0,6486,PASS
TTWO,1997-04-15,2023-12-28,6722,7,177123314.75219727,2387.0,0.0,2387.0,2378,PASS
ROST,1985-08-08,2023-12-28,9675,7,232283294.6460724,2011.0,0.0,2011.0,1995,PASS
BEN,1983-09-23,2023-12-28,10149,7,74376891.16897583,5936.0,2106.0,3830.0,5771,PASS
