ticker,ok,coverage,max_gap_days,dup_dates,bad_px,bad_vol,repairable,first,last,why
ADBE,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
V,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CRM,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
COST,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
QCOM,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
TSM,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
MU,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
PEP,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
TXN,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
KO,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
MRK,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ORCL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
NKE,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CMCSA,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
C,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
WFC,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
AMAT,True,0.9997,5,0,1,1,True,2011-01-03,2023-12-20,
CAT,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
TMUS,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ASML,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
DHR,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
OXY,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ACN,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
NEE,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ADI,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
MS,True,0.9997,4,0,1,1,True,2011-01-03,2023-12-20,
COP,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
AMGN,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
DE,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
GE,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
UNP,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ABT,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
UPS,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
MRVL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
HUM,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ON,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
VLO,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CMG,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
GILD,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
PXD,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
DVN,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CI,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
USB,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
FDX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
TJX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
AMT,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CHTR,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CSX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ALB,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
AAL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
BSX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
EOG,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
VRTX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
NEM,True,0.9994,5,0,1,1,True,2011-01-03,2023-12-20,
ETN,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
FSLR,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
PLD,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
ORLY,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
BX,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
EL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
NOC,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
DAL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
SYK,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CDNS,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
PGR,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
DXCM,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
FI,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
CL,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
URI,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
BIDU,True,0.9994,5,0,0,0,False,2011-01-03,2023-12-20,
